Order_ID,Customer_Name,Category,Sub_Category,City,Order_Date,Region,Sales,Discount,Profit,State,Month,Order_Year
OD1,Harish,5,14,21,2017-08-11,2,1254,0.12,401.28,0,August,2017
OD2,Sudha,1,13,8,2017-08-11,3,749,0.18,149.8,0,August,2017
OD3,Hussain,3,0,13,2017-12-06,4,2360,0.21,165.2,0,December,2017
OD4,Jackson,4,12,4,2016-11-10,3,896,0.25,89.6,0,November,2016
OD5,Ridhesh,3,18,12,2016-11-10,3,2355,0.26,918.45,0,November,2016
OD6,Adavan,3,18,4,2015-09-06,4,2305,0.26,322.7,0,September,2015
OD7,Jonas,4,12,20,2015-09-06,4,826,0.33,346.92,0,September,2015
OD8,Hafiz,4,11,15,2015-09-06,4,1847,0.32,147.76,0,September,2015
OD9,Hafiz,0,1,19,2015-09-06,4,791,0.23,181.93,0,September,2015
OD10,Krithika,0,3,1,2015-09-06,4,1795,0.27,484.65,0,September,2015
OD11,Ganesh,6,5,7,2015-09-06,4,1903,0.13,437.69,0,September,2015
OD12,Yadav,2,9,11,2015-09-06,4,701,0.1,308.44,0,September,2015
OD14,Peer,4,12,6,2017-05-12,4,1277,0.25,63.85,0,May,2017
OD17,Alan,0,3,4,2015-11-11,0,1678,0.28,318.82,0,November,2015
OD22,Alan,3,7,7,2017-09-12,0,948,0.13,47.4,0,September,2017
OD23,Haseena,1,21,8,2017-09-12,0,707,0.34,148.47,0,September,2017
OD36,Sabeela,2,9,19,2017-08-12,0,1265,0.22,569.25,0,August,2017
OD37,James,1,21,16,2017-08-12,0,934,0.35,56.04,0,August,2017
OD42,Arutra,1,21,16,2018-10-09,0,1868,0.18,616.44,0,October,2018
OD45,Amrish,0,1,8,2017-11-03,0,1663,0.17,731.72,0,November,2017
OD46,Vince,2,9,9,2017-11-03,0,1420,0.19,355.0,0,November,2017
OD54,Yusuf,4,12,9,2017-11-12,1,627,0.33,181.83,0,November,2017
OD55,Esther,4,17,10,2017-11-12,1,760,0.28,60.8,0,November,2017
OD68,Roshan,4,12,14,2015-05-12,4,1160,0.16,510.4,0,May,2015
OD69,Ramesh,3,0,22,2015-05-12,4,1294,0.23,77.64,0,May,2015
OD70,Peer,5,14,12,2017-04-06,3,1232,0.14,554.4,0,April,2017
OD76,Veronica,1,21,0,2018-09-12,0,1489,0.12,193.57,0,September,2018
OD77,Arvind,4,17,12,2018-09-12,0,1250,0.27,75.0,0,September,2018
OD78,Anu,6,16,2,2018-09-12,0,1358,0.31,488.88,0,September,2018
OD80,Veena,4,17,1,2017-12-06,3,2303,0.26,621.81,0,December,2017
OD81,Kumar,1,13,6,2017-12-06,3,2027,0.34,912.15,0,December,2017
OD82,Amy,3,0,0,2015-12-10,4,1739,0.29,765.16,0,December,2015
OD83,Komal,5,22,3,2015-12-10,4,990,0.26,227.7,0,December,2015
OD84,Ravi,1,21,4,2016-03-09,3,2354,0.11,682.66,0,March,2016
OD89,Sheeba,0,2,13,2017-05-04,0,2111,0.21,189.99,0,May,2017
OD96,Veena,2,10,23,2018-06-11,4,1230,0.13,442.8,0,June,2018
OD97,Sudha,3,0,12,2018-09-11,1,1856,0.21,723.84,0,September,2018
OD99,Vince,6,5,4,2017-06-09,0,2301,0.28,391.17,0,June,2017
OD103,Vinne,6,5,10,2017-01-12,0,567,0.18,175.77,0,January,2017
OD112,Arvind,0,2,14,2017-03-11,0,2220,0.1,111.0,0,March,2017
OD113,Ravi,5,8,5,2017-03-11,0,2155,0.3,581.85,0,March,2017
OD118,Arvind,4,19,22,2016-02-03,4,983,0.11,186.77,0,February,2016
OD119,Akash,3,20,1,2016-05-04,3,903,0.1,90.3,0,May,2016
OD120,Ganesh,2,4,3,2017-12-06,1,1235,0.12,74.1,0,December,2017
OD121,Alan,4,19,19,2017-12-06,1,1243,0.24,174.02,0,December,2017
OD122,Harish,0,3,8,2017-12-06,1,649,0.34,201.19,0,December,2017
OD123,Veronica,2,15,17,2017-12-06,1,2354,0.11,188.32,0,December,2017
OD124,Anu,1,21,3,2017-12-06,1,1443,0.27,187.59,0,December,2017
OD127,Shah,2,15,7,2018-05-11,4,2352,0.17,870.24,0,May,2018
OD128,Harish,5,22,19,2018-05-11,4,1293,0.23,336.18,0,May,2018
OD129,Sharon,3,20,0,2017-06-11,4,1458,0.29,597.78,0,June,2017
OD130,Peer,3,0,2,2017-06-11,4,1801,0.22,126.07,0,June,2017
OD131,Haseena,6,5,17,2018-02-02,1,1261,0.29,416.13,0,February,2018
OD132,Sundar,1,21,10,2018-02-02,1,2112,0.28,105.6,0,February,2018
OD133,Ram,2,10,15,2018-02-02,1,640,0.24,140.8,0,February,2018
OD141,Veena,0,1,13,2017-05-09,1,866,0.32,381.04,0,May,2017
OD146,Malik,5,8,2,2016-07-09,4,1551,0.13,573.87,0,July,2016
OD148,Harish,4,12,19,2017-05-12,0,1125,0.33,292.5,0,May,2017
OD149,Veronica,1,13,17,2017-05-12,0,768,0.1,184.32,0,May,2017
OD150,Ravi,2,10,21,2017-05-12,0,1985,0.26,734.45,0,May,2017
OD151,Muneer,3,20,0,2017-05-12,0,2287,0.13,1029.15,0,May,2017
OD158,Komal,5,8,16,2015-01-03,4,1774,0.15,620.9,0,January,2015
OD161,Yadav,1,21,12,2017-11-05,4,713,0.3,192.51,0,November,2017
OD164,Hussain,6,6,18,2017-07-11,4,1516,0.32,121.28,0,July,2017
OD165,Haseena,3,0,15,2015-08-09,0,1442,0.28,605.64,0,August,2015
OD166,Sudha,1,13,9,2015-08-09,0,1690,0.33,422.5,0,August,2015
OD167,Adavan,6,5,0,2015-08-09,0,2021,0.13,343.57,0,August,2015
OD168,Aditi,2,15,12,2015-08-09,0,2340,0.25,491.4,0,August,2015
OD169,Krithika,5,22,22,2015-08-09,0,705,0.15,176.25,0,August,2015
OD170,Sharon,2,4,20,2015-08-09,0,1215,0.2,60.75,0,August,2015
OD171,Akash,3,7,8,2015-08-09,0,552,0.25,237.36,0,August,2015
OD172,Sabeela,1,13,19,2015-05-08,4,1412,0.11,564.8,0,May,2015
OD173,Surya,3,7,19,2015-05-08,4,791,0.32,150.29,0,May,2015
OD174,Alan,4,19,22,2015-05-08,4,2476,0.33,420.92,0,May,2015
OD181,Arvind,6,6,0,2015-05-12,0,1605,0.25,433.35,0,May,2015
OD182,Ravi,1,13,11,2015-05-12,0,1718,0.2,171.8,0,May,2015
OD190,Rumaiza,1,21,21,2016-12-10,1,1433,0.3,472.89,0,December,2016
OD191,Amrish,4,17,1,2016-12-10,1,2093,0.11,334.88,0,December,2016
OD192,Muneer,4,12,1,2016-12-10,1,2149,0.17,623.21,0,December,2016
OD193,Anu,1,13,4,2016-12-10,1,1972,0.32,414.12,0,December,2016
OD194,Suresh,5,14,4,2016-12-10,1,2060,0.25,432.6,0,December,2016
OD198,Verma,3,18,14,2018-06-11,1,914,0.34,338.18,0,June,2018
OD199,Surya,2,15,19,2018-06-07,1,1352,0.3,527.28,0,June,2018
OD200,Sudha,2,9,20,2018-06-07,1,682,0.25,170.5,0,June,2018
OD202,Vidya,0,3,16,2015-03-08,4,2421,0.25,484.2,0,March,2015
OD203,Jackson,3,18,15,2015-03-08,4,2245,0.24,404.1,0,March,2015
OD205,Ram,5,22,23,2018-03-06,3,1033,0.3,185.94,0,March,2018
OD206,Vinne,2,15,9,2018-09-12,4,1998,0.29,139.86,0,September,2018
OD207,Verma,2,4,13,2018-01-12,0,1469,0.15,646.36,0,January,2018
OD208,Haseena,2,9,15,2018-01-12,0,1899,0.25,360.81,0,January,2018
OD209,Esther,2,15,14,2018-01-12,0,2194,0.2,153.58,0,January,2018
OD210,Amrish,1,21,21,2018-01-12,0,1942,0.29,504.92,0,January,2018
OD211,Hafiz,4,19,6,2018-01-12,0,609,0.3,207.06,0,January,2018
